No.,SAMPLE_ID,식품명,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1회제공량,에너지(Kcal),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),트랜스 지방산(g)
1,R003126-ZZ-AVG,"햄, 프레스햄",전국(대표),2020,농축산물,육류,R003126,농진청('19),100,217,16.09,15.66,3.01,1.73,628,41.47,5.6,0.11
2,R003127-ZZ-AVG,"햄, 프레스햄, 데친것",전국(대표),2020,농축산물,육류,R003127,농진청('19),100,256,15.44,19.51,4.63,1.57,668,40.44,7.07,0.15
3,R003128-ZZ-AVG,"햄, 프레스햄, 구운것(팬)",전국(대표),2020,농축산물,육류,R003128,농진청('19),100,249,16.2,18.77,3.78,1.86,758,46.43,6.82,0.13
4,R003129-ZZ-AVG,"햄, 슬라이스햄, 데친것",전국(대표),2020,농축산물,육류,R003129,농진청('19),100,203,17.26,13.14,3.94,1.54,525,57.43,4.23,0.06
5,R003130-ZZ-AVG,"햄, 슬라이스햄, 구운것(팬)",전국(대표),2020,농축산물,육류,R003130,농진청('19),100,234,19.7,15.43,4.05,2.12,806,59.13,4.86,0.07
6,R001632-ZZ-AVG,"햄, 슬라이스햄",전국(대표),2020,농축산물,육류,R001632,농진청('19),100,193,17.01,12.82,2.3,1.34,703,51.86,4.23,0.06
7,R001500-ZZ-AVG,"개구리고기, 생것",전국(대표),2019,농축산물,육류,R001500,수('89),100,75,16.1,0.4,0.7,0,69,0,0,0
8,R001501-ZZ-AVG,"거위고기, 살코기, 생것",전국(대표),2019,농축산물,육류,R001501,USDA('15),100,161,22.75,7.13,0,0,87,84,2.79,0
9,R001502-ZZ-AVG,"거위고기, 살코기, 구운것",전국(대표),2019,농축산물,육류,R001502,USDA('15),100,238,28.97,12.67,0,0,76,96,4.56,0
10,R001503-ZZ-AVG,"거위 부산물, 간, 생것",전국(대표),2019,농축산물,육류,R001503,USDA('15),100,133,16.37,4.28,6.32,0,140,515,1.59,0
11,R001504-ZZ-AVG,"고래고기, 생것",전국(대표),2019,농축산물,육류,R001504,USDA('15),100,111,26.5,0.5,0,0,78,80,0.092,0
12,R001505-ZZ-AVG,"고래고기, 복부정육, 생것",전국(대표),2019,농축산물,육류,R001505,수('82),100,298,22,22.5,0.3,0,0,0,0,0
13,R001506-ZZ-AVG,"고래고기, 복부지육, 생것",전국(대표),2019,농축산물,육류,R001506,수('82),100,449,25.5,37.6,0.3,0,0,0,0,0
14,R001507-ZZ-AVG,"고래고기, 붉은살, 냉동",전국(대표),2019,농축산물,육류,R001507,식약처('96),100,132,23.5,3.5,0,0,58,0,0,0
